date,mes,lrmes,covar,delta_covar,covar_beta,srisk_usd_bn,srisk_share_pct,market_cap_usd_bn,debt_usd_bn
2026-01-21,-0.040364,0.505718,-0.022889,-0.01247,0.481392,3.495713,,288.496232,1683.58
2026-01-22,-0.040364,0.504739,-0.022889,-0.01247,0.481392,3.009767,,288.992699,1683.58
2026-01-23,-0.040364,0.504431,-0.022889,-0.012441,0.481391,7.864815,,278.164359,1683.58
2026-01-26,-0.040364,0.505008,-0.023912,-0.013464,0.481387,6.222967,,282.093673,1683.58
2026-01-27,-0.040364,0.505129,-0.023912,-0.013464,0.481388,6.549357,,281.445846,1683.58
2026-01-28,-0.040364,0.504872,-0.023912,-0.013464,0.481389,5.505239,,283.592146,1683.58
2026-01-29,-0.040364,0.506397,-0.023266,-0.013165,0.469694,5.44803,,284.594152,1683.58
2026-01-30,-0.040364,0.506747,-0.023266,-0.013165,0.469693,6.186597,,283.168329,1683.58
2026-02-02,-0.040364,0.506938,-0.023266,-0.013165,0.469693,4.736952,,286.474057,1683.58
2026-02-03,-0.040364,0.506888,-0.023266,-0.013165,0.469692,5.731633,,284.252076,1683.58
2026-02-04,-0.040364,0.506596,-0.023266,-0.013165,0.469692,9.185607,,276.475171,1683.58
2026-02-05,-0.040364,0.507325,-0.023472,-0.013371,0.46969,12.511702,,269.54588,1683.58
2026-02-06,-0.040364,0.508581,-0.023472,-0.013343,0.469687,7.575968,,281.152215,1683.58
2026-02-09,-0.040364,0.51028,-0.023472,-0.013343,0.46969,5.987365,,285.653676,1683.58
2026-02-10,-0.040364,0.510228,-0.023472,-0.013343,0.469689,5.24127,,287.279287,1683.58
2026-02-11,-0.040364,0.510622,-0.023472,-0.013371,0.469691,5.944916,,285.947325,1683.58
2026-02-12,-0.040364,0.511471,-0.023472,-0.013371,0.469691,11.616125,,273.826361,1683.58
2026-02-13,-0.040364,0.514053,-0.023789,-0.013688,0.469686,12.186726,,274.004975,1683.58
2026-02-17,-0.040364,0.514188,-0.023789,-0.01366,0.469686,10.745996,,277.304623,1683.58
2026-02-18,-0.040364,0.515339,-0.02379,-0.013688,0.469687,8.651835,,282.65976,1683.58
2026-02-19,-0.040364,0.515789,-0.02379,-0.013688,0.469688,11.07198,,277.489297,1683.58
2026-02-20,-0.040364,0.515958,-0.023789,-0.01366,0.469663,10.361739,,279.181498,1683.58
2026-02-23,-0.040364,0.515891,-0.023789,-0.013688,0.469678,14.379926,,270.121058,1683.58
2026-02-24,-0.040364,0.516195,-0.023789,-0.013688,0.469685,13.113428,,273.136166,1683.58
2026-02-25,-0.040017,0.515839,-0.02379,-0.01372,0.46969,10.447179,,278.921162,1683.58
2026-02-26,-0.040017,0.5166,-0.02379,-0.013764,0.469693,9.616413,,281.227895,1683.58
2026-02-27,-0.040017,0.515482,-0.02379,-0.013828,0.469696,18.696082,,260.209972,1683.58
2026-03-02,-0.040017,0.524721,-0.024116,-0.01409,0.469686,20.625837,,260.85477,1683.58
2026-03-03,-0.040017,0.524721,-0.024116,-0.014154,0.469689,20.509408,,261.121166,1683.58
